Ad asset report
All time
Asset status,Asset,Asset type,Campaign,Ad group,Level,Status,Status reason,Added by,Last updated,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks
Enabled,"Themes & Decors
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Dec 28, 2024, 10:53 AM","2,347",76,3.24%,INR,4.78,363.65,71
Enabled,"Event Services
Decoration & seating
Custom event setups
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:19 PM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/12239267451060763059,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM","3,680",800,21.74%,INR,1.04,832.06,800
Enabled,https://tpc.googlesyndication.com/simgad/8830868878899041073,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/13675426184702433967,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM","4,126",923,22.37%,INR,1.08,993.76,923
Enabled,"Check Availability
Confirm your event date
Quick booking support
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:19 PM",0,0, --,INR,0,0.00,0
Enabled,Ideal for Weddings,Callout,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,Flexible Seating Plan,Callout,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/8830868878899041073,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 12:30 PM",2,0,0.00%,INR,0,0.00,0
Enabled,Get exciting Offers,Callout,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Jun 9, 2022, 4:12 PM","60,902","1,436",2.36%,INR,21.75,31236.32,"1,436"
Enabled,https://tpc.googlesyndication.com/simgad/2040462729835129855,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 12:30 PM",189,8,4.23%,INR,3.00,24.00,8
Enabled,https://tpc.googlesyndication.com/simgad/8324944268641466854,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Jul 2, 2025, 1:53 PM",635,114,17.95%,INR,47.17,5376.93,114
Enabled,"Book Your Dream Wedding
Celebrate in a grand venue.
Perfect for weddings & events.
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Dec 28, 2024, 10:53 AM","5,141",833,16.20%,INR,1.06,880.10,833
Enabled,Get exciting Offers,Callout,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Feb 9, 2025, 8:08 PM","1,042",60,5.76%,INR,3.64,218.53,60
Enabled,"Amenities:Catering,Themes & Decors,Events",Structured snippet,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Feb 9, 2025, 8:08 PM","6,326",46,0.73%,INR,20.48,942.30,46
Enabled,https://tpc.googlesyndication.com/simgad/2931189090069969039,Horizontal logo,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Mar 26, 2025, 2:05 PM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/12460830729842252041,Horizontal logo,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Mar 26, 2025, 2:05 PM",0,0, --,INR,0,0.00,0
Enabled,"Amenities:Catering,Themes & Decors,Events",Structured snippet, --, --,Account,Eligible,,Advertiser,"Nov 18, 2022, 11:05 AM","29,129",277,0.95%,INR,20.74,5745.05,277
Enabled,"Pricing Details
Transparent hall costs
Packages for all budgets
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/13940004663630294297,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 12:30 PM",8,0,0.00%,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/17369821483905230504,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 12:30 PM",15,0,0.00%,INR,0,0.00,0
Enabled,GulmohorBanquet Hall,Business name,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Apr 15, 2024, 5:16 AM","61,892","4,739",7.66%,INR,25.14,119134.45,"4,739"
Enabled,"Amenities:AC Banquet Hall,Parking Space,Traditional Setup",Structured snippet,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:53 PM",0,0, --,INR,0,0.00,0
Enabled,"Event Services
Decoration & seating
Custom event setups
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,"Check Availability
Confirm your event date
Quick booking support
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/4891933308579243624,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM","4,569","1,041",22.78%,INR,1.11,1153.87,"1,041"
Enabled,"Book a Visit
Schedule hall tour
Meet our team
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,"Hall Photos & Gallery
View hall interiors
Discover event setups
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:19 PM",0,0, --,INR,0,0.00,0
Enabled,"Photo Gallery
Take a look at our
Photo Gallery.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#photos",Sitelink,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 12:15 PM",0,0, --,INR,0,0.00,0
