Ad group report
All time
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Ad group type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Avg. cost,Conv. rate,Conversions,Cost / conv.
Enabled,Munj Ad group 2,Search campaign| wedding | Munj| Dec-25,Eligible,unknown,INR, --,Standard,618,"3,316",18.64%,INR,0.96,591.08,0.96,77.02%,476.00,1.24
Enabled,wedding ad group1,Search campaign| wedding | Munj| Dec-25,Eligible,unknown,INR, --,Standard,767,"4,373",17.54%,INR,1.10,846.95,1.10,69.62%,534.00,1.59
Enabled,#Engagement,GULMOHOR | SEARCH,Eligible,unknown,INR, --,Standard,"4,698","203,518",2.31%,INR,7.00,32872.12,7.00,10.03%,471.00,69.79
Enabled,#Babyshower,GULMOHOR | SEARCH,Eligible,unknown,INR, --,Standard,"1,192","13,798",8.64%,INR,10.09,12032.83,10.09,25.92%,309.00,38.94
Enabled,#Birthday,GULMOHOR | SEARCH,Eligible,unknown,INR, --,Standard,"10,895","726,866",1.50%,INR,13.11,142839.85,13.11,10.15%,"1,106.33",129.11
Total: Ad groups,,,,,,,,"18,170","951,871",1.91%,INR,10.41,189182.82,10.41,15.94%,"2,896.33",65.32
Total: Account,,,,,,,,"174,146","14,072,556",1.24%,INR,3.78,658446.75,3.77,26.69%,"46,656.00",14.11
Total: Smart,,,,,,,,"69,216","9,270,095",0.75%,INR,2.67,184797.55,2.67,21.19%,"14,664.00",12.60
Total: Search,,,,,,,,"45,633","2,695,513",1.69%,INR,8.36,381422.54,8.36,6.99%,"3,188.00",119.64
Total: Performance Max,,,,,,,,"37,239","402,682",9.25%,INR,1.50,55939.61,1.48,75.95%,"28,804.00",1.94
Total: Display,,,,,,,,"22,058","1,704,266",1.29%,INR,1.65,36287.05,1.65,0.00%,0.00,0.00
