Ad report
All time
Ad status,Final URL,Beacon URLs,Long headline,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Call to action text,Video ID,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Country,Phone number,Verification URL,Call reporting,Call conversion,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad strength,Ad strength improvements,Ad type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Phone calls,Conv. rate,Conversions,Cost / conv.
Enabled,https://gulmohorbanquethallpune.com/, --, --,{Keyword:Gulmohor Banquet Hall}, --,{keyword:gulmohorbanquethallpune.com}, --,Munj Ceremony Hall Pune, --,Perfect Hall for Munj, --,Book Munj Function Hall, --,Traditional Event Hall, --,Prime Location in Pune, --,Professional Management, --,Affordable Munj Packages, --,AC Banquet for Munj, --,{LOCATION(City):Located at Sinhagad Road Pune}, --,Contact Us Now, --,Easy Munj Booking, --,Best Banquet Hall In Pune, --,Book Your Event, --,"Perfect venue for Munj with seating, decoration support and quick availability.", --,Book a spacious and well-managed hall for your Munj ceremony. Call for dates, --,"Host your Munj ceremony in a peaceful, AC banquet hall with ample parking.", --,Gulmohor Banquet Hall is the ideal venue for all your celebrations., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible,,Excellent,,Responsive search ad,"3,316",618,18.64%,INR,0.96,591.08,0,77.02%,476.00,1.24
Enabled,https://gulmohorbanquethallpune.com/, --, --,{KeyWord:Gulmohor Banquet Hall Pune}, --,{Keyword:Top Wedding Hall in Pune}, --,Elegant Wedding Banquet, --,{keyword:Gulmohor Banquet Hall}, --,Spacious Marriage Venue, --,Pune Wedding Venue, --,Marriage Hall With Parking, --,Hassle-free Wedding Booking, --,Affordable Banquet Hall Pune, --,gulmohorbanquethallpune.com, --,Pune Wedding Banquet Hall, --,Rooftop Venue, --,Pune's Top Banquet, --,Best Banquet Hall In Pune, --,{Keyword:gulmohorbanquethallpune.com}, --,"Host your dream wedding at Gulmohor — spacious halls, great ambience & easy booking.", --,"Book now for marriage function, receptions & events. Call to check availability.", --,Gulmohor Banquet Hall (Abhiruchi Mall) at Sinhagad Road-Vadgaon Budruk, --,We are a leading wedding venue in Pune. Book your event with us today., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible,,Excellent,,Responsive search ad,"4,373",767,17.54%,INR,1.10,846.95,0,69.62%,534.00,1.59
Enabled,https://gulmohorbanquethallpune.com/, --, --,Gulmohor Birthday Hall, --,Best Hall for Birthdays, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Welcome To Gulmohar Banquets, We Provide Ample Amount Of Space For 1200+ People.", --,"A Perfect Place For Carporate Events, Engagements, Naming Ceremonies and Marriages.", --, --, --, --, --, --, --, --, --, --,Gulmohor Banquet Hall, --, --, --, --, --, --, --, --, --, --,IN,086699 82255,https://gulmohorbanquethallpune.com/,true, --, --, --,, --, --,,GULMOHOR | SEARCH,#Birthday,Eligible,, --, --,Call-only ad,"208,765","3,632",1.74%,INR,27.19,98749.80,385,30.12%,"1,093.83",90.28
Enabled,https://gulmohorbanquethallpune.com/, --, --,Gulmohor Banquet Hall In Pune, --,Book Your Date Now, --,Engagement Banquet Hall, --,Best Engagement Party Venues, --,Engagement Function Hall, --,Best Banquet Hall In Pune, --,Ac Hall For Engagement, --,Small Hall For Engagement, --,Engagement Party Locations, --,Best Engagement Venue In Pune, --,Hall Near Me For Engagement, --,View Our Services, --,Ac Banquet Hall In Pune, --,Engagement Hall In Pune, --,Engagement Function Venues, --,Gulmohor Benquet hall is best for engagement venue in pune., --,Celebrate your engagement ceremony at Gulmohor banquet hall in pune., --,At the Gulmohor Banquet Hall we will arrange the perfect ambiance for Engagement Ceremony, --,Amazing Couples! Plan Your Engagement In our Gulmohor Banquet Hall In Pune·, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,,https://gulmohorbanquethallpune.com/,https://gulmohorbanquethallpune.com/,,GULMOHOR | SEARCH,#Engagement,Eligible,,Excellent,,Responsive search ad,"203,518","4,698",2.31%,INR,7.00,32872.12,43,10.03%,471.00,69.79
Enabled,https://gulmohorbanquethallpune.com/, --, --,Pune's Best Banquet Hall, --,Top Banquet Hall in Pune, --,Gulmohor Banquet Hall, --,Spacious Banquet Hall, --,Banquet Hall on Singhad Road, --,Book Your Date Now, --,Baby Shower Dreams a Reality, --,Baby shower celebration, --,Best Banquet Halls Near Me, --,Perfect Spot For celebration, --,Gulmohor Banquet Hall In Pune, --,Shadwal Hall for Baby Shower, --,Discover Best Banquet Hall, --,Affordable Prices, --,{KeyWord:Best Banquet Hall In Pune}, --,Create Memories From Bump to Baby, --,Celebrate the Joy of parenthood with our perfect baby shower essentials!, --,Welcome to Gulmohar Banquets! We provide an ample amount of space for 1200+ people., --,Guaranteed professional service. We provide 100% quality catering and food services., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Baby Shower, --,https://gulmohorbanquethallpune.com/,https://gulmohorbanquethallpune.com/,https://gulmohorbanquethallpune.com/,,GULMOHOR | SEARCH,#Babyshower,Eligible,,Excellent,,Responsive search ad,"13,798","1,192",8.64%,INR,10.09,12032.83,23,25.92%,309.00,38.94
Total: Enabled ads,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --, --, --,"433,770","10,907",2.51%,INR,13.30,145092.77,451,26.44%,"2,883.83",50.31
Total: Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,072,556","174,831",1.24%,INR,3.77,658446.75,"3,268",26.69%,"46,656.00",14.11
Total: Smart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,270,095","69,216",0.75%,INR,2.67,184797.55,"1,984",21.19%,"14,664.00",12.60
Total: Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,695,513","45,633",1.69%,INR,8.36,381422.54,"1,208",6.99%,"3,188.00",119.64
Total: Performance Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"402,682","37,924",9.42%,INR,1.48,55939.61,42,75.95%,"28,804.00",1.94
