Ad schedule day and hour report
All time
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Saturday,15,GULMOHOR | SEARCH,"9,852",326,3.31%,INR,14.61,4764.23,7.98%,26.00,183.24
Saturday,13,GULMOHOR | GMB,"96,804",741,0.77%,INR,2.96,2193.33,18.58%,137.67,15.93
Wednesday,16,Search campaign| wedding | Munj| Dec-25,40,5,12.50%,INR,0.96,4.81,0.00%,0.00,0.00
Tuesday,11,Performance Max I GBH Feb-25,"4,110",420,10.22%,INR,1.76,740.07,69.76%,293.00,2.53
Sunday,14,Performance Max I GBH Feb-25,"4,532",455,10.04%,INR,1.34,608.43,75.16%,342.00,1.78
Saturday,15,Performance Max I GBH Feb-25,"4,113",454,11.04%,INR,1.47,667.52,81.50%,370.00,1.80
Tuesday,13,Performance Max I GBH Feb-25,"3,432",381,11.10%,INR,1.72,654.18,65.09%,248.00,2.64
Monday,16,Search campaign| wedding | Munj| Dec-25,112,21,18.75%,INR,0.97,20.40,90.48%,19.00,1.07
Tuesday,1,Performance Max I GBH Feb-25,261,12,4.60%,INR,5.67,68.01,16.67%,2.00,34.01
Thursday,7,Search campaign| wedding | Munj| Dec-25,24,3,12.50%,INR,3.58,10.75,0.00%,0.00,0.00
Monday,16,GULMOHOR | GMB,"81,832",659,0.81%,INR,2.63,1732.89,22.15%,146.00,11.87
Saturday,21,GULMOHOR | GMB,"32,747",263,0.80%,INR,2.58,677.58,19.01%,50.00,13.55
Saturday,6,Performance Max I GBH Feb-25,211,16,7.58%,INR,4.40,70.33,100.00%,16.00,4.40
Saturday,0,GULMOHOR | GMB,"33,179",233,0.70%,INR,3.41,793.94,15.02%,35.00,22.68
Wednesday,1,GULMOHOR | SEARCH,"23,959",162,0.68%,INR,3.12,505.07,0.00%,0.00,0.00
Friday,15,GULMOHOR | SEARCH,"9,769",291,2.98%,INR,12.13,3530.62,7.22%,21.00,168.12
Saturday,12,GULMOHOR | SEARCH,"13,580",414,3.05%,INR,13.87,5740.64,7.73%,32.00,179.39
Sunday,21,Performance Max I GBH Feb-25,"1,916",166,8.66%,INR,0.81,133.87,62.05%,103.00,1.30
Wednesday,8,Performance Max I GBH Feb-25,"2,182",187,8.57%,INR,1.56,291.41,86.10%,161.00,1.81
Saturday,7,GULMOHOR | SEARCH,"33,908",358,1.06%,INR,2.50,894.67,0.84%,3.00,298.22
Friday,8,GULMOHOR | GMB,"74,528",513,0.69%,INR,2.36,1208.25,21.25%,109.00,11.08
Wednesday,12,GULMOHOR | GMB,"89,635",741,0.83%,INR,2.34,1732.97,17.21%,127.50,13.59
Friday,10,GULMOHOR | SEARCH,"18,214",409,2.25%,INR,18.95,7752.14,8.07%,33.00,234.91
Saturday,3,GULMOHOR | SEARCH,"5,538",59,1.07%,INR,4.87,287.12,0.00%,0.00,0.00
Saturday,17,GULMOHOR | SEARCH,"11,155",309,2.77%,INR,12.04,3718.99,7.44%,23.00,161.70
Wednesday,13,Performance Max I GBH Feb-25,"4,564",407,8.92%,INR,1.53,623.58,66.34%,270.00,2.31
Wednesday,3,GULMOHOR | GMB,"6,575",33,0.50%,INR,2.90,95.76,20.20%,6.67,14.36
Wednesday,13,GULMOHOR | SEARCH,"11,413",367,3.22%,INR,13.73,5037.95,5.45%,20.00,251.90
Thursday,14,Performance Max I GBH Feb-25,"4,765",344,7.22%,INR,2.24,768.94,64.83%,223.00,3.45
Saturday,10,Search campaign| wedding | Munj| Dec-25,94,12,12.77%,INR,0.80,9.57,100.00%,12.00,0.80
Monday,8,Performance Max I GBH Feb-25,"1,324",132,9.97%,INR,1.01,133.74,81.82%,108.00,1.24
Sunday,2,GULMOHOR | SEARCH,"11,761",109,0.93%,INR,2.28,248.96,0.00%,0.00,0.00
Sunday,13,GULMOHOR | GMB,"91,865",797,0.87%,INR,2.70,2153.71,24.59%,196.00,10.99
Thursday,21,GULMOHOR | GMB,"49,988",314,0.63%,INR,2.73,857.54,16.72%,52.50,16.33
Saturday,8,Search campaign| wedding | Munj| Dec-25,51,4,7.84%,INR,0.44,1.74,175.00%,7.00,0.25
Friday,1,Search campaign| wedding | Munj| Dec-25,31,6,19.35%,INR,1.05,6.28,33.33%,2.00,3.14
Sunday,13,GULMOHOR | SEARCH,"17,406",458,2.63%,INR,11.92,5461.13,8.08%,37.00,147.60
Monday,7,GULMOHOR | GMB,"47,417",283,0.60%,INR,2.32,657.54,17.67%,50.00,13.15
Tuesday,12,Search campaign| wedding | Munj| Dec-25,103,15,14.56%,INR,0.96,14.40,86.67%,13.00,1.11
Tuesday,1,Search campaign| wedding | Munj| Dec-25,9,1,11.11%,INR,0.21,0.21,0.00%,0.00,0.00
Tuesday,7,GULMOHOR | SEARCH,"35,656",329,0.92%,INR,3.20,1051.74,0.91%,3.00,350.58
Wednesday,14,Search campaign| wedding | Munj| Dec-25,62,8,12.90%,INR,1.98,15.88,0.00%,0.00,0.00
Wednesday,15,GULMOHOR | SEARCH,"9,849",306,3.11%,INR,11.94,3653.83,8.17%,25.00,146.15
Sunday,0,Performance Max I GBH Feb-25,266,18,6.77%,INR,1.48,26.70,105.56%,19.00,1.41
