Age report
All time
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,65+,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,90,12,13.33%,INR,1.01,12.09,58.33%,7.00,1.73
Enabled,55 - 64,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,146,29,19.86%,INR,1.05,30.34,86.21%,25.00,1.21
Enabled,35 - 44,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,594,134,22.56%,INR,1.02,137.13,94.78%,127.00,1.08
Enabled,18 - 24,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,488,78,15.98%,INR,1.16,90.67,69.23%,54.00,1.68
Enabled,18 - 24,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,720,103,14.31%,INR,1.34,137.85,51.46%,53.00,2.60
Enabled,Unknown,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,820,124,15.12%,INR,0.78,97.20,70.97%,88.00,1.10
Enabled,35 - 44,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,753,144,19.12%,INR,1.07,154.51,79.17%,114.00,1.36
Enabled,45 - 54,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,345,75,21.74%,INR,1.05,78.83,81.33%,61.00,1.29
Enabled,55 - 64,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,165,34,20.61%,INR,1.09,37.16,76.47%,26.00,1.43
Enabled,65+,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,107,22,20.56%,INR,0.83,18.15,68.18%,15.00,1.21
Enabled,Unknown,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,"1,151",178,15.46%,INR,0.91,161.13,63.48%,113.00,1.43
