Household income report
All time
Demographic status,Household income,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Unknown,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,949,137,14.44%,INR,0.78,106.99,67.88%,93.00,1.15
Enabled,11 - 20%,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,749,146,19.49%,INR,0.87,126.99,81.51%,119.00,1.07
Enabled,11 - 20%,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,577,112,19.41%,INR,0.85,94.93,77.68%,87.00,1.09
Enabled,Lower 50%,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,380,78,20.53%,INR,0.97,75.88,80.77%,63.00,1.20
Enabled,31 - 40%,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,334,56,16.77%,INR,1.49,83.21,50.00%,28.00,2.97
Enabled,41 - 50%,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,170,29,17.06%,INR,0.81,23.60,55.17%,16.00,1.48
Enabled,21 - 30%,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,424,74,17.45%,INR,0.81,60.23,71.62%,53.00,1.14
Enabled,31 - 40%,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,232,54,23.28%,INR,1.05,56.49,83.33%,45.00,1.26
Enabled,Top 10%,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,704,156,22.16%,INR,1.10,171.10,75.64%,118.00,1.45
Enabled,41 - 50%,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,121,21,17.36%,INR,0.93,19.59,95.24%,20.00,0.98
Enabled,21 - 30%,Search campaign| wedding | Munj| Dec-25,Munj Ad group 2,Eligible, --,354,60,16.95%,INR,1.10,66.09,83.33%,50.00,1.32
Enabled,Lower 50%,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,517,118,22.82%,INR,1.49,175.32,61.86%,73.00,2.40
Enabled,Top 10%,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,876,140,15.98%,INR,1.27,177.88,85.00%,119.00,1.49
Enabled,Unknown,Search campaign| wedding | Munj| Dec-25,wedding ad group1,Eligible, --,"1,307",204,15.61%,INR,0.98,199.72,61.76%,126.00,1.59
Enabled,11 - 20%,GULMOHOR | SEARCH,#Babyshower,Eligible, --,"3,221",267,8.29%,INR,10.40,2777.71,25.84%,69.00,40.26
Enabled,11 - 20%,GULMOHOR | SEARCH,#Birthday,Eligible, --,"91,945","1,862",2.03%,INR,17.92,33375.16,16.40%,305.33,109.31
Enabled,31 - 40%,GULMOHOR | SEARCH,#Engagement,Eligible, --,"10,455",293,2.80%,INR,5.99,1755.29,12.29%,36.00,48.76
Removed,Unknown,GULMOHOR | SEARCH,#Babyshower,Excluded from ad group, --,"1,875",110,5.87%,INR,4.26,468.39,0.00%,0.00,0.00
