"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,"Views from Organic posts","Views from Boosted posts",Reach,"Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Reactions, comments and shares",Reactions,Comments,Shares,"1-minute video views from Recommendations","1-minute video views from Shares","1-minute video views from Followers","1-minute video views from Boosted posts","Seconds viewed from Recommendations","Seconds viewed from Shares","Seconds viewed from Followers","Seconds viewed from Boosted posts","Average Seconds viewed from Recommendations","Average Seconds viewed from Shares","Average Seconds viewed from Followers","Average Seconds viewed from Boosted posts","Negative feedback from users","Unique negative feedback from users","Seconds viewed","Average Seconds viewed","Percentage of total views at interval 0","Percentage of total views at interval 1","Percentage of total views at interval 2","Percentage of total views at interval 3","Percentage of total views at interval 4","Percentage of total views at interval 5","Percentage of total views at interval 6","Percentage of total views at interval 7","Percentage of total views at interval 8","Percentage of total views at interval 9","Percentage of total views at interval 10","Percentage of total views at interval 11","Percentage of total views at interval 12","Percentage of total views at interval 13","Percentage of total views at interval 14","Percentage of total views at interval 15","Percentage of total views at interval 16","Percentage of total views at interval 17","Percentage of total views at interval 18","Percentage of total views at interval 19","Percentage of total views at interval 20","Percentage of total views at interval 21","Percentage of total views at interval 22","Percentage of total views at interval 23","Percentage of total views at interval 24","Percentage of total views at interval 25","Percentage of total views at interval 26","Percentage of total views at interval 27","Percentage of total views at interval 28","Percentage of total views at interval 29","Percentage of total views at interval 30","Percentage of total views at interval 31","Percentage of total views at interval 32","Percentage of total views at interval 33","Percentage of total views at interval 34","Percentage of total views at interval 35","Percentage of total views at interval 36","Percentage of total views at interval 37","Percentage of total views at interval 38","Percentage of total views at interval 39","Percentage of total views at interval 40","Estimated earnings (USD)","Ad impressions","Percentage of 15-second views at interval 0","Percentage of 15-second views at interval 1","Percentage of 15-second views at interval 2","Percentage of 15-second views at interval 3","Percentage of 15-second views at interval 4","Percentage of 15-second views at interval 5","Percentage of 15-second views at interval 6","Percentage of 15-second views at interval 7","Percentage of 15-second views at interval 8","Percentage of 15-second views at interval 9","Percentage of 15-second views at interval 10","Percentage of 15-second views at interval 11","Percentage of 15-second views at interval 12","Percentage of 15-second views at interval 13","Percentage of 15-second views at interval 14","Percentage of 15-second views at interval 15","Percentage of 15-second views at interval 16","Percentage of 15-second views at interval 17","Percentage of 15-second views at interval 18","Percentage of 15-second views at interval 19","Percentage of 15-second views at interval 20","Percentage of 15-second views at interval 21","Percentage of 15-second views at interval 22","Percentage of 15-second views at interval 23","Percentage of 15-second views at interval 24","Percentage of 15-second views at interval 25","Percentage of 15-second views at interval 26","Percentage of 15-second views at interval 27","Percentage of 15-second views at interval 28","Percentage of 15-second views at interval 29","Percentage of 15-second views at interval 30","Percentage of 15-second views at interval 31","Percentage of 15-second views at interval 32","Percentage of 15-second views at interval 33","Percentage of 15-second views at interval 34","Percentage of 15-second views at interval 35","Percentage of 15-second views at interval 36","Ad CPM (USD)"
1051914873635997,100064524835805,Shreelaxmistonedepot,"🌟""Every tile tells a story of timeless beauty and quality. Make your home one for the ages. 🏠✨

🏢 Perfect for modern homes, offices, and luxury interiors!
🔹 Shree Laxmi Stone Depot - Since 1962
Stone | Tiles | Sanitaryware

📞 +91 99227 20095
🌐 www.shreelaxmistonedepot.com
do visit to our YouTube channel : https://youtube.com/@shreelaxmistonedepot...
📍 Mangalwar Peth & Kharadi
.
.
#TimelessElegance  #LuxuryLiving  #shreelaxmi  #stonedepot #homedecor #homedesign #homeideas #homeinterior #pune #punehomedecor #reelsinstagram #bestinterior #reelsindia #reelviral #instadaily #BathroomLuxury #Jaquar  #marbledesign #BathroomDesign  #ShreeLaxmiStoneDepot #HomeDeco #ramzaanmubarak🌙  #Ramadan  #Eid2025",,0,"03/30/2025 19:30",N/A,https://www.facebook.com/Shreelaxmistonedepot/posts/pfbid02ZCzqDybUxGmUEaYSz1wfgMAjFg4RE5oFhQCXJzpcRu5dSp9bmukECxzW8xT2gcMBl,0,0,Photos,,,,,Lifetime,30,30,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051882123639272,100064524835805,Shreelaxmistonedepot,"✨ Eid Mubarak from all of us at Shree Laxmi Stone Depot!
May this Eid bring peace, joy, and endless blessings to you and your loved ones. 🌙
Just like our timeless stone and granite, may your strength and prosperity shine through every season.
🔹 Shree Laxmi Stone Depot - Since 1962
Stone | Tiles | Sanitaryware
📞 +91 99227 20095
🌐 www.shreelaxmistonedepot.com
do visit to our YouTube channel : https://youtube.com/@shreelaxmistonedepot...
📍 Mangalwar Peth & Kharadi
#TimelessElegance #LuxuryLiving #shreelaxmi #stonedepot #homedecor #homedesign #homeideas #homeinterior #pune #punehomedecor #reelsinstagram #bestinterior #reelsindia #reelviral #instadaily #BathroomLuxury #Jaquar #marbledesign #BathroomDesign #ShreeLaxmiStoneDepot",,0,"03/30/2025 18:30",N/A,https://www.facebook.com/Shreelaxmistonedepot/posts/pfbid0QjE5MpZbnCrpHSN5jePytPrGzPLhx7WGmBXZsyzonzFNDg1z2DPfinxDHNJAxXeul,0,0,Photos,,,,,Lifetime,30,30,0,16,16,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274970197997129,100064524835805,Shreelaxmistonedepot,"Welcoming 2026 with thoughtfully crafted spaces and a promise of better living ✨
At Shree Laxmi Stone Depot, every stone, tile, and surface is designed to elevate your home and lifestyle.
Wishing you a Happy New Year filled with comfort, elegance, and timeless design 🎉

#HappyNewYear2026 #ShreeLaxmiStoneDepot #BetterLiving #ThoughtfullyCrafted #HomeInteriors #StoneTiles #BathroomDesign #ModernInteriors #HomeUpgrade #InteriorInspiration #PuneInteriors #TimelessSpaces ✨",,0,"12/31/2025 20:30",N/A,https://www.facebook.com/Shreelaxmistonedepot/posts/pfbid077tjwEeBq1PUs1vZntza3GG4THoxUxtkvM9LBFFT3c3zP6MUXstbLCLu5jHL1Yfnl,0,0,Photos,,,,,Lifetime,24,24,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273061554854660,100064524835805,Shreelaxmistonedepot,"Short & Classy Artistic 60x60 polish with earthy tones, crafted for elegant interiors.
A perfect balance of form, finish, and refined living.
#60x60Tiles #ArtisticPolish #EarthyPalette #ElegantInteriors
#PremiumTiles #LuxurySurfaces #InteriorDesignIndia
#TimelessInteriors #ModernLiving #DesignerTiles
#FormAndFinish #RefinedSpaces #DistinctiveInteriors
#HomeDecorIndia #ArchitectChoice","Short & Classy Artistic 60x60 polish with earthy tones, crafted for elegant interiors.
A perfect balance of form, finish, and refined living.
#60x60Tiles #ArtisticPolish #EarthyPalette #ElegantInteriors
#PremiumTiles #LuxurySurfaces #InteriorDesignIndia
#TimelessInteriors #ModernLiving #DesignerTiles
#FormAndFinish #RefinedSpaces #DistinctiveInteriors
#HomeDecorIndia #ArchitectChoice",32,"12/29/2025 09:04",N/A,https://www.facebook.com/reel/674720382274989/,1,0,Videos,,,,,Lifetime,33,33,0,23,23,0,9,0,7,0,0,9,1,1,0,0,0,0,0,0,147.007,0,65.083,0,12.251,0,4.339,0,0,0,212.09,7.855,1,1,1,1,1,1,0.89,0.78,0.78,0.78,0.78,0.44,0.44,0.44,0.44,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1273031494857666,100064524835805,Shreelaxmistonedepot,"Shreelaxmistonedepot's video",,27,"12/29/2025 08:14",N/A,https://www.facebook.com/reel/1806744443380075/,0,0,Videos,,,,,Lifetime,18,18,0,17,17,0,4,0,3,0,0,4,1,1,0,0,0,0,0,0,5.212,0,36.988,0,1.738,0,2.642,0,0,0,42.2,2.482,1,1,1,1,1,0.5,0.5,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1273019041525578,100064524835805,Shreelaxmistonedepot,"Elegant & Premium Polished glimmer finish in 60x60 cm – a perfect blend of heritage charm and modern elegance.
Inspired by Indian artists’ motifs, designed to elevate timeless interiors.

#TimelessDesign #ModernElegance
#InteriorInspiration #DesignerTiles #ArchitectChoice #LuxuryLiving
#IndianInspiredDesign #ClassicMeetsModern #PremiumInteriors
#HomeDecorIndia #InteriorGoals #TileDesign #SurfaceDesign","Elegant & Premium Polished glimmer finish in 60x60 cm – a perfect blend of heritage charm and modern elegance.
Inspired by Indian artists’ motifs, designed to elevate timeless interiors.

#TimelessDesign #ModernElegance
#InteriorInspiration #DesignerTiles #ArchitectChoice #LuxuryLiving
#IndianInspiredDesign #ClassicMeetsModern #PremiumInteriors
#HomeDecorIndia #InteriorGoals #TileDesign #SurfaceDesign",31,"12/29/2025 07:54",N/A,https://www.facebook.com/reel/1848021375919896/,0,0,Videos,,,,,Lifetime,8,8,0,9,9,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,6.364,0,11.988,0,2.122,0,2.398,0,0,0,18.352,2.294,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1269720878522061,100064524835805,Shreelaxmistonedepot,"🎄 Merry Christmas! 🎄
May this joyful season fill your home with warmth, peace, and festive cheer.
From all of us at Shree Laxmi Stone Depot, wishing you happiness, prosperity, and goodwill this Christmas.

✨ Wishing you festive cheer and goodwill. ✨

📞 +91 99227 20095
📍 Mangalwar Peth | Kharadi
🌐 www.shreelaxmistonedepot.com

#MerryChristmas #ChristmasWishes #FestiveSeason #SeasonOfJoy #ShreeLaxmiStoneDepot #HolidayCheer #WarmWishes #FestiveGreetings #PuneBusiness",,0,"12/24/2025 21:40",N/A,https://www.facebook.com/Shreelaxmistonedepot/posts/pfbid02XSzhggfyremtasRs3nnNDLrkPD977Z6DTgbSZTR8xFEnM5CdBJsCGSRdoiF1dUFPl,0,0,Photos,,,,,Lifetime,14,14,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268992588594890,100064524835805,Shreelaxmistonedepot,"On National Consumer Day, we celebrate the power of informed choices and trusted quality.
At Shree Laxmi Stone Depot, we are committed to transparency, durability, and customer satisfaction—because every consumer deserves the best.

Right choices matter. Honouring every consumer.

📍 Mangalwar Peth | Kharadi
📞 +91 99227 20095
🌐 www.shreelaxmistonedepot.com

#NationalConsumerDay #ConsumerRights #RightChoices #TrustedQuality #CustomerFirst #ConsumerProtection #EthicalBusiness #QualityMatters #ShreeLaxmiStoneDepot #StoneAndTiles #BuildWithTrust #IndianBusiness #PuneBusiness",,0,"12/23/2025 22:52",N/A,https://www.facebook.com/Shreelaxmistonedepot/posts/pfbid0w1DTUWwq2xD5NLkKocUhShiX9yZb1heGBhs1XMJ9yADS7hCgwY4d2uLtZQqNnyytl,0,0,Photos,,,,,Lifetime,11,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267419518752197,100064524835805,Shreelaxmistonedepot,"Upgrade your bathroom with a sleek & modern Concealed Cistern – Aqua Flush Tank 🚿
Designed for comfort and convenience, it delivers silent operation, smart design, and space-saving performance.

✔ Noise-free flushing system
✔ Durable & leak-proof build
✔ Easy installation and maintenance

Discover premium bathroom solutions at Shree Laxmi Stone Depot.

📞 +91 99227 20095
📍 Mangalwar Peth | Kharadi
🌐 www.shreelaxmistonedepot.com

#ConcealedCistern #AquaFlushTank #ModernBathroom #BathroomUpgrade #SilentFlush #SpaceSavingDesign #SmartBathroom #Sanitaryware #PremiumInteriors #BathroomDesign #ShreeLaxmiStoneDepot #PuneInteriors",,0,"12/21/2025 20:30",N/A,https://www.facebook.com/Shreelaxmistonedepot/posts/pfbid02g79HpYwiVxo11KZMFNhTbhA96mJ2Jbs2mXL2LPLjHcRe88wbX9zJwZo3iT3y7SW6l,0,0,Photos,,,,,Lifetime,17,17,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265001402327342,100064524835805,Shreelaxmistonedepot,"Upgrade your kitchen with a Premium Stainless Steel Kitchen Sink ✨
Designed for modern homes, it offers the perfect balance of style, strength, and performance.
✔ Sleek & modern design
✔ Rust & noise resistant
✔ Easy to clean & long-lasting

Visit Shree Laxmi Stone Depot for premium kitchen solutions.

📞 +91 99227 20095
📍 Mangalwar Peth | Kharadi
🌐 www.shreelaxmistonedepot.com

#KitchenSink #StainlessSteelSink #PremiumKitchen #ModernKitchen #KitchenUpgrade #HomeInteriors #KitchenDesign #DurableDesign #EasyToClean #ShreeLaxmiStoneDepot #PuneInteriors #KitchenEssentials",,0,"12/18/2025 20:30",N/A,https://www.facebook.com/Shreelaxmistonedepot/posts/pfbid0jKnUW8giWz1XAioLa7tSvqNC3fSkjQJt4YwoYmN2YHLfEzaoGgJxH7D4kDRdrYMzl,0,0,Photos,,,,,Lifetime,19,19,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
