Landing page report
All time
Landing page,Selected by,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://www.gulmohorbanquethall.com/index.php/birthday-party/,ADVERTISER, --, --, --,4,861,0.46%,INR,36.32,145.28
https://gulmohorbanquethall.com/venue-for-a-birthday-party/,AUTOMATIC, --, --, --,44,411,10.71%,INR,1.32,58.22
https://www.gulmohorbanquethall.com/all-services/1,UNKNOWN, --, --, --,18,"14,572",0.12%,INR,15.46,278.22
https://www.gulmohorbanquethall.com/mapview/18-463208670188056/73-81656736135483,UNKNOWN, --, --, --,144,"15,686",0.92%,INR,22.32,3213.43
https://gulmohorbanquethall.com/index.php/corporate-events/,ADVERTISER, --, --, --,0,690,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/latest-update/everything-under-one/118,UNKNOWN, --, --, --,0,24,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/news-blogs/,UNKNOWN, --, --, --,0,394,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/engagement/{ignore}?https://www.gulmohorbanquethall.com/landing-page/,ADVERTISER,7, --, --,290,"2,399",12.09%,INR,6.39,1853.55
https://www.gulmohorbanquethall.com/latest-update/gulmohor-banquet-hal/11,UNKNOWN, --,100%, --,2,50,4.00%,INR,13.32,26.64
https://www.gulmohorbanquethall.com/marriage-hall-in-pune/,UNKNOWN,4, --, --,34,940,3.62%,INR,18.84,640.70
https://gulmohorbanquethall.com/engagement/,UNKNOWN, --, --, --,20,879,2.28%,INR,9.73,194.56
https://gulmohorbanquethall.com/venue-for-a-birthday-party/,UNKNOWN, --, --, --,39,"4,376",0.89%,INR,6.79,264.77
https://gulmohorbanquethall.com/reception-hall-in-pune/,UNKNOWN, --, --, --,77,"5,885",1.31%,INR,6.89,530.58
https://gulmohorbanquethall.com/gallery/,AUTOMATIC, --, --, --,4,11,36.36%,INR,0.93,3.71
https://www.gulmohorbanquethall.com/contact-us/,UNKNOWN,6, --, --,82,"18,897",0.43%,INR,36.17,2965.77
https://www.gulmohorbanquethall.com/contact-us/,ADVERTISER, --, --, --,69,"2,555",2.70%,INR,8.92,615.14
https://gulmohorbanquethall.com/blog/,ADVERTISER, --, --, --,0,333,0.00%,INR,0,0.00
https://gulmohorbanquethallpune.com/{ignore}?https://gulmohorbanquethallpune.com/,ADVERTISER,6, --, --,"3,400","40,263",8.44%,INR,6.88,23385.92
https://www.gulmohorbanquethall.com/,ADVERTISER,7, --, --,"5,048","52,371",9.64%,INR,2.65,13388.40
https://www.gulmohorbanquethall.com/,UNKNOWN,5,55%, --,"28,862","2,474,512",1.17%,INR,3.90,112553.50
https://gulmohorbanquethall.com/shadwal/,UNKNOWN, --, --, --,0,42,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/marriage-hall-in-pune/,ADVERTISER,9, --, --,8,201,3.98%,INR,10.92,87.38
business.google.com,ADVERTISER, --, --, --,70,"133,825",0.05%,INR,8.14,570.10
https://www.gulmohorbanquethall.com/services/,ADVERTISER, --, --, --,2,537,0.37%,INR,16.41,32.82
https://www.gulmohorbanquethall.com/latest-update/best-banquet-halls-i/133,UNKNOWN, --,100%, --,4,213,1.88%,INR,6.23,24.93
https://gulmohorbanquethall.com/reception-hall-in-pune/,AUTOMATIC, --, --, --,126,894,14.09%,INR,2.25,283.93
https://gulmohorbanquethall.com/reception-hall-in-pune/,ADVERTISER, --, --, --,0,4,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/landing-page/{ignore}?https://www.gulmohorbanquethall.com/landing-page/,UNKNOWN, --, --, --,17,125,13.60%,INR,13.25,225.25
https://www.gulmohorbanquethall.com/themes-decors/,UNKNOWN, --, --, --,0,"1,915",0.00%,INR,0,0.00
https://gulmohorbanquethallpune.com/,AUTOMATIC, --, --, --,848,"6,818",12.44%,INR,0.94,798.60
https://www.gulmohorbanquethall.com/landing-page/,UNKNOWN,6, --, --,532,"9,272",5.74%,INR,23.68,12596.32
https://www.gulmohorbanquethall.com/reception-hall-in-pune/,UNKNOWN, --, --, --,0,78,0.00%,INR,0,0.00
https://gulmohorbanquethall.com/shadwal/,AUTOMATIC, --, --, --,63,484,13.02%,INR,1.69,106.63
https://www.gulmohorbanquethall.com/latest-update/everything-you-need-/115,UNKNOWN, --,0%, --,1,11,9.09%,INR,0.32,0.32
https://gulmohorbanquethall.com/about-us-2/,UNKNOWN, --, --, --,24,"3,299",0.73%,INR,2.82,67.72
https://gulmohorbanquethall.com/landing-page/,AUTOMATIC, --, --, --,0,1,0.00%,INR,0,0.00
business.google.com,AUTOMATIC, --, --, --,0,"3,507",0.00%,INR,0,0.00
