Location report
All time
Location,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
"411007, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,1,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411060, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,1,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411043, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,2,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411025, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,2,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411048, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,22,6,27.27%,INR,1.59,9.54,0.00%,0.00,0.00
"411023, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,5,1,20.00%,INR,1.17,1.17,0.00%,0.00,0.00
"411037, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,16,3,18.75%,INR,0.62,1.86,0.00%,0.00,0.00
"411001, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,11,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411036, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,2,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411027, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,20,3,15.00%,INR,2.25,6.75,0.00%,0.00,0.00
"412301, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,2,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411038, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,14,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"412307, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,3,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411051, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,9,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411015, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,4,3,75.00%,INR,2.04,6.12,0.00%,0.00,0.00
"411045, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,31,2,6.45%,INR,2.06,4.12,0.00%,0.00,0.00
"411052, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,6,1,16.67%,INR,1.04,1.04,0.00%,0.00,0.00
"411058, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,3,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411014, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,36,6,16.67%,INR,0.55,3.33,0.00%,0.00,0.00
"411030, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,10,3,30.00%,INR,1.28,3.84,0.00%,0.00,0.00
"411042, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,179,40,22.35%,INR,1.05,41.97,0.00%,0.00,0.00
"412308, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,3,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411057, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,42,9,21.43%,INR,1.01,9.10,0.00%,0.00,0.00
"411046, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,19,2,10.53%,INR,2.34,4.68,0.00%,0.00,0.00
"411016, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,2,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411021, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,17,2,11.76%,INR,0.37,0.74,0.00%,0.00,0.00
"411005, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,14,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411041, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,29,5,17.24%,INR,0.43,2.17,0.00%,0.00,0.00
"411040, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,1,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"412205, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,2,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
"411028, Maharashtra, India",Search campaign| wedding | Munj| Dec-25,6,2,33.33%,INR,1.23,2.45,0.00%,0.00,0.00
"411051, Maharashtra, India",Performance Max I GBH Feb-25,"85,701","11,746",13.71%,INR,1.01,11814.05,95.29%,"11,193.00",1.06
"Mangadewadi, Maharashtra, India",Performance Max I GBH Feb-25,"9,541",182,1.91%,INR,6.08,1106.96,43.96%,80.00,13.84
"411041, Maharashtra, India",Performance Max I GBH Feb-25,"60,008","3,702",6.17%,INR,1.17,4338.18,82.52%,"3,055.00",1.42
"411024, Maharashtra, India",Performance Max I GBH Feb-25,"1,879",198,10.54%,INR,1.07,212.76,77.27%,153.00,1.39
"411009, Maharashtra, India",Performance Max I GBH Feb-25,"14,952",968,6.47%,INR,2.30,2229.36,81.20%,786.00,2.84
"Nanded Fata, Maharashtra, India",Performance Max I GBH Feb-25,"45,344","3,639",8.03%,INR,1.39,5071.08,60.15%,"2,189.00",2.32
"Girinagar, Maharashtra, India",Performance Max I GBH Feb-25,"83,321","9,416",11.30%,INR,1.60,15084.22,71.29%,"6,713.00",2.25
"411046, Maharashtra, India",Performance Max I GBH Feb-25,"28,689","2,494",8.69%,INR,1.69,4210.83,66.04%,"1,647.00",2.56
"411052, Maharashtra, India",Performance Max I GBH Feb-25,"21,228","2,251",10.60%,INR,1.81,4064.48,81.21%,"1,828.00",2.22
"Khadewadi, Maharashtra, India",Performance Max I GBH Feb-25,"23,814",445,1.87%,INR,11.58,5152.48,25.17%,112.00,46.00
"8.0|km|Abhiruchi Mall & Multiplex, Sinhgad Road, Bhide Baug, Wadgaon Budruk, Vadgaon Budruk, Pune, Maharashtra",Performance Max I GBH Feb-25,"28,205","2,884",10.23%,INR,0.92,2655.79,36.34%,"1,048.00",2.53
"2.0|km|Vadgaon Budruk, Pune, Maharashtra",GULMOHOR | SEARCH,"22,568","1,647",7.30%,INR,19.10,31459.62,19.91%,328.00,95.91
"1.0|km|Siddhivinayak Society, Pune, Maharashtra",GULMOHOR | SEARCH,191,25,13.09%,INR,6.16,154.05,72.00%,18.00,8.56
"2.0|km|Nanded City, Nanded, Pune, Maharashtra",GULMOHOR | SEARCH,"14,973",710,4.74%,INR,15.45,10968.30,15.92%,113.00,97.06
"411009, Maharashtra, India",GULMOHOR | SEARCH,"2,308",263,11.40%,INR,8.89,2338.08,60.46%,159.00,14.70
"411058, Maharashtra, India",GULMOHOR | SEARCH,"1,760",180,10.23%,INR,6.50,1170.28,67.22%,121.00,9.67
"1.0|km|Katraj, Pune, Maharashtra",GULMOHOR | SEARCH,"1,271",163,12.82%,INR,6.93,1130.35,69.94%,114.00,9.92
"411041, Maharashtra, India",GULMOHOR | SEARCH,"7,613",307,4.03%,INR,7.10,2179.57,7.17%,22.00,99.07
"411038, Maharashtra, India",GULMOHOR | SEARCH,"4,580",529,11.55%,INR,8.56,4526.54,70.51%,373.00,12.14
"2.0|km|Kirkatwadi, Pune, Maharashtra",GULMOHOR | SEARCH,"1,594",157,9.85%,INR,19.42,3048.40,19.11%,30.00,101.61
"2.0|km|Narhe, Pune, Maharashtra",GULMOHOR | SEARCH,"6,689",552,8.25%,INR,14.13,7798.15,22.64%,125.00,62.39
"2.0|km|Khadakwasla Dam, Maharashtra",GULMOHOR | SEARCH,325,29,8.92%,INR,6.70,194.27,41.38%,12.00,16.19
"1.5|km|Pune, Maharashtra 411043",GULMOHOR | SEARCH,"2,730",323,11.83%,INR,8.40,2712.97,60.99%,197.00,13.77
"411046, Maharashtra, India",GULMOHOR | SEARCH,"4,188",392,9.36%,INR,7.65,2997.71,65.05%,255.00,11.76
"2.0|km|P L Deshpande Garden, Sinhgad Road, Pune Okayama Friendship Garden, Dattawadi, Pune, Maharashtra",GULMOHOR | SEARCH,"15,119","1,329",8.79%,INR,23.14,30752.27,16.93%,225.00,136.68
Total: Locations,,"489,105","44,619",9.12%,INR,3.53,157469.63,69.24%,"30,896.00",5.10
Total: Other locations,,"3,307,682","41,607",1.26%,INR,6.84,284786.90,2.63%,"1,096.00",259.84
Total: Account,,"14,072,652","174,836",1.24%,INR,3.77,658461.21,26.69%,"46,656.00",14.11
Total: Smart,,"9,270,184","69,217",0.75%,INR,2.67,184798.96,21.19%,"14,664.00",12.60
Total: Search,,"2,695,520","45,636",1.69%,INR,8.36,381435.00,6.99%,"3,188.00",119.65
Total: Performance Max,,"402,682","37,925",9.42%,INR,1.48,55940.20,75.95%,"28,804.00",1.94
Total: Display,,"1,704,266","22,058",1.29%,INR,1.65,36287.05,0.00%,0.00,0.00
