Search keyword report
All time
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,All conv.,Phone calls,Conv. rate,Conversions,Cost / conv.
Enabled,birthday party hall in pune,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,12,193,6.22%,INR,13.41,160.95,1.00,0,0.00%,0.00,0.00
Enabled,small hall for birthday party,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,0,19,0.00%,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,birthday celebration supplies,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,2,147,1.36%,INR,3.03,6.05,0.00,0,0.00%,0.00,0.00
Enabled,places to have parties,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,34,"2,686",1.27%,INR,11.93,405.58,0.00,3,0.00%,0.00,0.00
Enabled,balloons near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,1,113,0.88%,INR,5.83,5.83,0.00,0,0.00%,0.00,0.00
Enabled,teen birthday party ideas,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,0,52,0.00%,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,rainbow theme decoration,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,1,64,1.56%,INR,0.94,0.94,0.00,0,0.00%,0.00,0.00
Enabled,private party venue near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,1,187,0.53%,INR,36.27,36.27,0.00,0,0.00%,0.00,0.00
Enabled,low budget hall near me,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,0,110,0.00%,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,places for parties near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,17,964,1.76%,INR,19.29,327.94,6.00,2,5.88%,1.00,327.94
Enabled,president banquet hall,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,4,9,44.44%,INR,37.94,151.75,2.00,0,0.00%,0.00,0.00
Enabled,balloon for party decor,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,8,"1,068",0.75%,INR,1.28,10.25,0.00,0,0.00%,0.00,0.00
Enabled,wedding venues near me,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,21,570,3.68%,INR,27.98,587.62,5.00,2,4.76%,1.00,587.62
Enabled,rainbow birthday decorations,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,0,14,0.00%,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,best birthday celebration places in pune,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,33,"2,052",1.61%,INR,38.94,1285.08,4.00,4,0.00%,0.00,0.00
Enabled,party supplies to buy,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,1,267,0.37%,INR,1.56,1.56,0.00,0,0.00%,0.00,0.00
Enabled,hall near me for wedding,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,44,231,19.05%,INR,7.08,311.73,50.00,0,106.82%,47.00,6.63
Enabled,birthday party halls for rent near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,1,2,50.00%,INR,1.89,1.89,0.00,0,0.00%,0.00,0.00
Enabled,terrace decoration for birthday,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,0,7,0.00%,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,birthday celebration hotel in pune,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,6,908,0.66%,INR,7.08,42.47,0.00,1,0.00%,0.00,0.00
Enabled,birthday decoration things,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,6,802,0.75%,INR,2.08,12.49,0.00,1,0.00%,0.00,0.00
Enabled,event venue near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,10,91,10.99%,INR,3.65,36.52,13.00,0,60.00%,6.00,6.09
Enabled,banquet hall for reception,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,https://gulmohorbanquethallpune.com/,659,"5,810",11.34%,INR,9.96,6564.70,759.00,10,88.62%,584.00,11.24
Enabled,madhumalti hall pune,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,0,3,0.00%,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,venue reception hall,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,55,"4,970",1.11%,INR,24.67,1356.69,25.50,5,0.91%,0.50,2713.38
Enabled,birthday decor supplies,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,6,637,0.94%,INR,3.43,20.55,0.00,0,0.00%,0.00,0.00
Enabled,party hall for birthday party,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,4,50,8.00%,INR,1.91,7.63,0.00,0,0.00%,0.00,0.00
Enabled,small birthday party places near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,0,0, --,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,banquet hall for birthday,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,1,263,0.38%,INR,2.59,2.59,0.00,0,0.00%,0.00,0.00
Enabled,low budget party halls in pune,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,17,267,6.37%,INR,14.98,254.68,6.00,1,0.00%,0.00,0.00
Enabled,birthday celebration places in pune for couples near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,2,436,0.46%,INR,4.89,9.78,0.00,0,0.00%,0.00,0.00
Enabled,small birthday party halls near me,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,15,216,6.94%,INR,3.47,52.10,2.00,0,0.00%,0.00,0.00
Enabled,birthday party hall rentals,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,3,41,7.32%,INR,4.35,13.06,1.00,0,0.00%,0.00,0.00
Enabled,birthday decoration s,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,1,55,1.82%,INR,1.09,1.09,0.00,0,0.00%,0.00,0.00
Enabled,balloons for decorations for a party,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,0,11,0.00%,INR,0,0.00,0.00,0,0.00%,0.00,0.00
Enabled,birthday party room near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,2,114,1.75%,INR,47.76,95.51,0.00,0,0.00%,0.00,0.00
Enabled,birthday party in,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,5,432,1.16%,INR,3.03,15.16,0.00,0,0.00%,0.00,0.00
Enabled,birthday event packages in pune,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,1,47,2.13%,INR,0.94,0.94,0.00,0,0.00%,0.00,0.00
Enabled,banquet halls in warje,Broad match,GULMOHOR | SEARCH,#Birthday,Limited,low quality,,17,442,3.85%,INR,21.23,360.96,9.83,1,0.00%,0.00,0.00
Enabled,marriage hall under 50 000 near me,Broad match,GULMOHOR | SEARCH,#Birthday,Eligible,,,6,242,2.48%,INR,8.31,49.88,1.00,0,0.00%,0.00,0.00
