Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Clicks,Conv. rate,Conversions,Cost / conv.
geet govind lawns,Broad match,None,GULMOHOR | SEARCH,#Engagement,2,1,50.00%,INR,22.59,22.59,Search,1,0.00%,0.00,0.00
pavilion near me,Broad match,Excluded,GULMOHOR | SEARCH,#Birthday,2,1,50.00%,INR,9.76,9.76,Search,1,100.00%,1.00,9.76
banquet hall rent near me,Phrase match,None,GULMOHOR | SEARCH,#Engagement,1,1,100.00%,INR,3.93,3.93,Search,1,0.00%,0.00,0.00
rajyog lawns bibwewadi,Phrase match (close variant),Excluded,GULMOHOR | SEARCH,#Babyshower,1,1,100.00%,INR,0.53,0.53,Search,1,0.00%,0.00,0.00
na si phadke hall pune,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,8,1,12.50%,INR,52.19,52.19,Search,1,0.00%,0.00,0.00
siddharth hall pune,Phrase match (close variant),Excluded,GULMOHOR | SEARCH,#Birthday,18,1,5.56%,INR,47.00,47.00,Search,1,0.00%,0.00,0.00
small party hall near me for birthday,Phrase match,None,GULMOHOR | SEARCH,#Birthday,2,1,50.00%,INR,14.58,14.58,Search,1,0.00%,0.00,0.00
banquet halls for birthday party near me,Phrase match,None,GULMOHOR | SEARCH,#Engagement,1,1,100.00%,INR,3.26,3.26,Search,1,0.00%,0.00,0.00
shouryashree hall pune,Broad match,Excluded,GULMOHOR | SEARCH,#Engagement,1,1,100.00%,INR,31.58,31.58,Search,1,0.00%,0.00,0.00
laxmi banquet hall,Broad match,None,GULMOHOR | SEARCH,#Engagement,4,1,25.00%,INR,28.60,28.60,Search,1,0.00%,0.00,0.00
shehnai hall katraj,Phrase match (close variant),Excluded,GULMOHOR | SEARCH,#Birthday,12,1,8.33%,INR,44.90,44.90,Search,1,0.00%,0.00,0.00
mangal karyalay near me,Phrase match (close variant),Excluded,GULMOHOR | SEARCH,#Birthday,29,3,10.34%,INR,16.94,50.82,Search,3,0.00%,0.00,0.00
my birthday party,Broad match,Excluded,GULMOHOR | SEARCH,#Birthday,104,1,0.96%,INR,1.49,1.49,Search,1,0.00%,0.00,0.00
marriage hall under 50 000,Phrase match (close variant),Excluded,GULMOHOR | SEARCH,#Engagement,7,1,14.29%,INR,32.05,32.05,Search,1,0.00%,0.00,0.00
bandhan events pune,Broad match,None,GULMOHOR | SEARCH,#Birthday,1,1,100.00%,INR,15.12,15.12,Search,1,0.00%,0.00,0.00
radha krishna mangal karyalay ambegaon,Phrase match (close variant),Excluded,GULMOHOR | SEARCH,#Birthday,2,1,50.00%,INR,8.40,8.40,Search,1,100.00%,1.00,8.40
birthday celebration ideas for kids,Phrase match,None,GULMOHOR | SEARCH,#Birthday,3,1,33.33%,INR,4.44,4.44,Search,1,0.00%,0.00,0.00
santosh garden,Broad match,None,GULMOHOR | SEARCH,#Birthday,4,1,25.00%,INR,6.42,6.42,Search,1,0.00%,0.00,0.00
banquet hall in chinchwad,Phrase match,Excluded,GULMOHOR | SEARCH,#Engagement,6,1,16.67%,INR,13.33,13.33,Search,1,0.00%,0.00,0.00
shriram mangal karyalay bhor,Phrase match (close variant),Excluded,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
kunal garden kalewadi,Broad match,None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
good marriage halls near me,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
luxurious parties,Broad match,None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
pragati banquet hall,Phrase match,None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
my best birthday party,Broad match,Excluded,GULMOHOR | SEARCH,#Birthday,3,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
pushp mangal karyalaya pune,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,2,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
baby shower decoration at home in low budget,Broad match,None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
ratna banquet hall near me,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
regency hall,Broad match,None,GULMOHOR | SEARCH,#Babyshower,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
book marriage halls online,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
mds lawns ravet,Phrase match (close variant),None,GULMOHOR | SEARCH,#Engagement,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
taj hotel nashik wedding,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
shahi darbar hall miraj,Broad match,None,GULMOHOR | SEARCH,#Babyshower,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
banquet hall moshi,Broad match,None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
birthday cake party,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
birthday day party,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
birthday ka decoration dikhao,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
couple birthday celebration places near me,Phrase match (close variant),None,GULMOHOR | SEARCH,#Birthday,2,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
baccha party thane thane maharashtra,Broad match,None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
krishnapingaksha hall near me,Broad match,None,GULMOHOR | SEARCH,#Babyshower,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
setup party,Broad match,None,GULMOHOR | SEARCH,#Birthday,1,0,0.00%,INR,0,0.00,Search,0,0.00%,0.00,0.00
